,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Fatal_(Y/N),Time,Species,original_order,Continent
0,Jun,2018.0,Boat,usa,California,"Oceanside, San Diego County",Rare_act.,F,57.0,N,night,White shark,6303.0,North_America
1,Jun,2018.0,Unprovoked,usa,Georgia,"St. Simon Island, Glynn County",Seashore,F,11.0,N,afternoon,Unespcific,6302.0,North_America
2,Jun,2018.0,Invalid,usa,Hawaii,"Habush, Oahu",Surf,M,48.0,N,day-morning,Unespcific,6301.0,North_America
3,Jun,2018.0,Unprovoked,australia,New South Wales,Arrawarra Headland,Surf,M,27.32,N,,Unespcific,6300.0,Oceania
4,Jun,2018.0,Provoked,mexico,Colima,La Ticla,Diving,M,27.32,N,,Tiger shark,6299.0,Central_America
5,Jun,2018.0,Unprovoked,australia,New South Wales,"Flat Rock, Ballina",Surf,M,27.32,N,,Unespcific,6298.0,Oceania
6,Jun,2018.0,Unprovoked,brazil,Pernambuco,"Piedade Beach, Recife",Swim,M,18.0,Y,afternoon,Tiger shark,6297.0,South_America
7,May,2018.0,Unprovoked,usa,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fish,M,52.0,N,,Lemon shark,6296.0,North_America
8,May,2018.0,Unprovoked,usa,Florida,"Cocoa Beach, Brevard  County",Seashore,M,15.0,N,afternoon,Lemon shark,6295.0,North_America
9,May,2018.0,Unprovoked,usa,Florida,"Daytona Beach, Volusia County",Seashore,M,12.0,N,afternoon,Unespcific,6294.0,North_America
10,May,2018.0,Provoked,australia,Queensland,Cairns Aquarium,Shark_related_act.,M,32.0,N,day-morning,Grey shark,6293.0,Oceania
11,May,2018.0,Unprovoked,usa,South Carolina,"Isle of Palms,  Charleston County",On_boat,M,10.0,N,,Unespcific,6292.0,North_America
12,May,2018.0,Unprovoked,usa,South Carolina,"Hilton Head Island, Beaufort County",Swim,M,10.0,N,afternoon,Unespcific,6291.0,North_America
13,May,2018.0,Invalid,england,Cornwall,Off Land's End,Fish,M,21.0,N,day-morning,Tiger shark,6290.0,Unknown
14,May,2018.0,Provoked,australia,Westerm Australia,Dugong Bay,Shark_related_act.,F,34.0,N,,Tiger shark,6289.0,Oceania
15,May,2018.0,Unprovoked,south africa,Eastern Cape Province,"Nahoon Beach, East London",Surf,M,27.32,N,day-morning,Unespcific,6288.0,Africa
16,May,2018.0,Questionable,australia,New South Wales,"Sharpes Beach, Ballina",Surf,M,27.32,N,day-morning,Tiger shark,6287.0,Oceania
17,Apr,2018.0,Unprovoked,thailand,Hua Hin,Sai Noi Beach,Swim,M,27.32,N,,Unespcific,6286.0,Unknown
18,Apr,2018.0,Unprovoked,costa rica,Cocos Island,Manuelita,Diving,M,30.0,N,day-morning,Tiger shark,6285.0,Unknown
19,Apr,2018.0,Unprovoked,australia,Western Australia,Gearys Beach,Surf,M,27.32,N,afternoon,Unespcific,6284.0,Oceania
20,Apr,2018.0,Questionable,australia,New South Wales,Lennox Head,Surf,M,27.32,N,day-morning,Tiger shark,6283.0,Oceania
21,Apr,2018.0,Unprovoked,australia,Western Australia,"Surfers Point, Prevelly",Surf,M,60.0,N,day-morning,Unespcific,6282.0,Oceania
22,Apr,2018.0,Unprovoked,australia,Western Australia,"South Point, Gracetown",Surf,M,27.32,N,afternoon,White shark,6281.0,Oceania
23,Apr,2018.0,Unprovoked,maldives,Alifu Alifu Atoll,Madoogali,Fish,M,32.0,N,night,Tiger shark,6280.0,Unknown
24,Apr,2018.0,Unprovoked,south africa,Western Cape Province,"Robberg Beach, Plettenberg Bay",Rare_act.,M,33.0,N,day-morning,White shark,6279.0,Africa
25,Apr,2018.0,Unprovoked,usa,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",On_boat,M,29.0,N,,Unespcific,6278.0,North_America
26,Apr,2018.0,Unprovoked,thailand,Hua Hin,Sai Noi Beach,Swim,M,54.0,N,,Lemon shark,6277.0,Unknown
27,Apr,2018.0,Unprovoked,brazil,Pernambuco,Piedade,Swim,M,34.0,,,Unespcific,6276.0,South_America
28,Apr,2018.0,Unprovoked,australia,Western Australia,"Lefthanders, Margaret River Area",Surf,M,41.0,N,,Unespcific,6275.0,Oceania
29,Apr,2018.0,Unprovoked,australia,Western Australia,"Cobblestones, Margaret River Area",Surf,M,37.0,N,day-morning,Unespcific,6274.0,Oceania
